epoch,Precision,Recall,binary_accuracy,loss,prc,val_Precision,val_Recall,val_binary_accuracy,val_loss,val_prc
0,0.6754966974258423,0.6107784509658813,0.6903015375137329,0.6041832566261292,0.7251424789428711,0.5006353259086609,0.944844126701355,0.5473340749740601,0.6450569033622742,0.7809131145477295
1,0.8412138223648071,0.7137724757194519,0.8090192675590515,0.40973934531211853,0.8885653614997864,0.8804070949554443,0.8297362327575684,0.871599555015564,0.5299108624458313,0.9269405603408813
2,0.9115384817123413,0.8514969944953918,0.8951371908187866,0.2815055251121521,0.95505291223526,0.8849765062332153,0.9040767550468445,0.9031556248664856,0.4877365529537201,0.9681190252304077
3,0.9420731663703918,0.92514967918396,0.9402336478233337,0.200835183262825,0.9806925058364868,0.9498746991157532,0.9088729023933411,0.9368879199028015,0.4464625418186188,0.9845798015594482
4,0.9626055359840393,0.9556885957717896,0.9630535244941711,0.1405986249446869,0.9927577972412109,0.9747474789619446,0.9256594777107239,0.9553862810134888,0.4146617650985718,0.9906708598136902
5,0.9812348484992981,0.9706586599349976,0.9782667756080627,0.10885804891586304,0.9951752424240112,0.9749373197555542,0.9328536987304688,0.9586507081985474,0.4016939103603363,0.996347188949585
6,0.9915356636047363,0.9820359349250793,0.9880467057228088,0.07821549475193024,0.997151255607605,0.9974424839019775,0.935251772403717,0.9695320725440979,0.35474684834480286,0.9990309476852417
7,0.996995210647583,0.9934131503105164,0.9956533312797546,0.04949682205915451,0.9989771246910095,1.0,0.9424460530281067,0.973884642124176,0.3211806118488312,0.9995424747467041
8,0.9958083629608154,0.9958083629608154,0.9961966872215271,0.036455828696489334,0.9997032880783081,0.9975845217704773,0.9904076457023621,0.9945592880249023,0.2867495119571686,0.9998118281364441
9,0.9988009333610535,0.9976047873497009,0.9983699917793274,0.02623138204216957,0.9999609589576721,0.9976019263267517,0.9976019263267517,0.9978237152099609,0.25457072257995605,0.9998680353164673
0,0.6711280941963196,0.6305389404296875,0.6922032237052917,0.6258004903793335,0.7286410331726074,0.48014017939567566,0.9856114983558655,0.509249210357666,0.7357557415962219,0.7871274352073669
1,0.8619505763053894,0.7514970302581787,0.8326541781425476,0.36781176924705505,0.9092773795127869,0.7327272891998291,0.9664268493652344,0.8248095512390137,0.4650822579860687,0.9512898325920105
2,0.9053723812103271,0.8880239725112915,0.9070904850959778,0.23409724235534668,0.9632976651191711,0.5042321681976318,1.0,0.5538628697395325,0.6041116714477539,0.9621782898902893
3,0.9539594650268555,0.9305388927459717,0.9481119513511658,0.15145902335643768,0.9854174852371216,0.9542168378829956,0.9496402740478516,0.9564744234085083,0.4128305912017822,0.9908629655838013
4,0.9793689250946045,0.9664670825004578,0.97555011510849,0.09402167052030563,0.9950444102287292,0.9731707572937012,0.9568345546722412,0.9684439897537231,0.37496769428253174,0.996433675289154
5,0.9868420958518982,0.9880239367485046,0.9885900616645813,0.058147527277469635,0.9976635575294495,0.9975247383117676,0.9664268493652344,0.9836779236793518,0.37362024188041687,0.9985337853431702
6,0.9945945739746094,0.9916167855262756,0.9937517046928406,0.04004228487610817,0.9991663694381714,1.0,0.9208633303642273,0.964091420173645,0.3606109023094177,0.9996404051780701
7,0.9982014298439026,0.9970059990882874,0.9978266954421997,0.028686512261629105,0.999805212020874,1.0,0.9544364213943481,0.9793253540992737,0.31703466176986694,0.9995840787887573
8,0.9988002181053162,0.9970059990882874,0.9980983138084412,0.021125927567481995,0.9999498128890991,1.0,0.9568345546722412,0.9804134964942932,0.28716903924942017,0.9994271993637085
9,0.9994012117385864,0.9994012117385864,0.9994566440582275,0.013421714305877686,0.9999932646751404,0.9975669384002686,0.9832134246826172,0.9912948608398438,0.2594645917415619,0.9995092153549194
0,0.7275910377502441,0.6221556663513184,0.7229014039039612,0.5959185361862183,0.76521897315979,0.4840613901615143,0.9832134246826172,0.516866147518158,0.6575182676315308,0.7824321985244751
1,0.8857345581054688,0.7473053932189941,0.8416191339492798,0.3737664222717285,0.9121690988540649,0.47494304180145264,1.0,0.4983677864074707,0.6352196931838989,0.935405969619751
2,0.9267676472663879,0.8790419101715088,0.9136104583740234,0.2431737631559372,0.9669529795646667,0.7846153974533081,0.9784172773361206,0.8683351278305054,0.48468017578125,0.9761810302734375
3,0.9529339671134949,0.9335329532623291,0.9489269256591797,0.16944915056228638,0.9848487377166748,0.62556391954422,0.9976019263267517,0.7279651761054993,0.5256320238113403,0.9816999435424805
4,0.9773838520050049,0.957485020160675,0.9706601500511169,0.11568737030029297,0.9938152432441711,0.7298245429992676,0.9976019263267517,0.8313384056091309,0.4747668504714966,0.9937582015991211
5,0.9909420013427734,0.9826347231864929,0.9880467057228088,0.07268249988555908,0.997631847858429,0.9806763529777527,0.973621129989624,0.9793253540992737,0.41234445571899414,0.9982354044914246
6,0.9939723014831543,0.9874251484870911,0.9915784001350403,0.055618349462747574,0.998161792755127,1.0,0.9304556250572205,0.9684439897537231,0.38019877672195435,0.9996019601821899
7,0.9987995028495789,0.9964072108268738,0.9978266954421997,0.03547748178243637,0.9995024800300598,0.9975429773330688,0.973621129989624,0.9869423508644104,0.3457072675228119,0.9997942447662354
0,0.7067861557006836,0.6610778570175171,0.721814751625061,0.569010853767395,0.7623946666717529,0.46368715167045593,0.9952038526535034,0.4755168557167053,0.8637683987617493,0.775615394115448
1,0.857519805431366,0.7784430980682373,0.8408041000366211,0.3500184416770935,0.9179936051368713,0.9496855139732361,0.7242206335067749,0.8574537634849548,0.4394490718841553,0.9502502083778381
2,0.9135802388191223,0.886227548122406,0.9103504419326782,0.22512176632881165,0.966606616973877,0.6607431173324585,0.9808153510093689,0.7627856135368347,0.47107696533203125,0.9643924236297607
3,0.9542403817176819,0.9365269541740417,0.9508285522460938,0.1556539237499237,0.9856282472610474,0.9887955188751221,0.8465228080749512,0.926006555557251,0.3795876204967499,0.988830029964447
4,0.977683961391449,0.9706586599349976,0.9766367673873901,0.10260412842035294,0.9941621422767639,0.9845361113548279,0.9160671234130859,0.9553862810134888,0.35881307721138,0.9940289855003357
5,0.9867389798164368,0.9802395105361938,0.9850584268569946,0.06815125793218613,0.9971203804016113,1.0,0.8992805480957031,0.9542981386184692,0.3356395959854126,0.997977614402771
6,0.9939758777618408,0.9880239367485046,0.9918500185012817,0.04849408566951752,0.9983562231063843,1.0,0.5275779366493225,0.7856365442276001,0.38610947132110596,0.9993764162063599
7,0.9946042895317078,0.9934131503105164,0.9945666790008545,0.03845108300447464,0.998778760433197,1.0,0.8968824744224548,0.9532099962234497,0.2911572754383087,0.9992111325263977
8,0.9970042109489441,0.9964072108268738,0.997011661529541,0.027159105986356735,0.999737024307251,1.0,0.9472422003746033,0.9760609269142151,0.25734272599220276,0.9996276497840881
9,0.9993994235992432,0.9964072108268738,0.9980983138084412,0.020052023231983185,0.999866247177124,1.0,0.633093535900116,0.8335146903991699,0.3251211643218994,0.9998763203620911
0,0.6773333549499512,0.6083832383155823,0.6908448934555054,0.6631589531898499,0.6910302042961121,0.4592511057853699,1.0,0.46572360396385193,0.7526124119758606,0.7371376752853394
1,0.8589743375778198,0.7622754573822021,0.8353708386421204,0.37237849831581116,0.9067794680595398,0.4982078969478607,1.0,0.5429815053939819,0.6112245917320251,0.9435246586799622
2,0.9152542352676392,0.8730539083480835,0.9057321548461914,0.2392301857471466,0.9635238647460938,0.5920113921165466,0.9952038526535034,0.6866158843040466,0.5149006843566895,0.9770098924636841
3,0.955703854560852,0.9431137442588806,0.9543602466583252,0.1506415754556656,0.9886566400527954,0.9584352374076843,0.9400479793548584,0.9542981386184692,0.44496259093284607,0.9911431670188904
4,0.9758453965187073,0.9676646590232849,0.9744634628295898,0.10314799845218658,0.9949871301651001,0.9870466589927673,0.9136690497398376,0.9553862810134888,0.4356848895549774,0.9961642622947693
5,0.9861778616905212,0.9826347231864929,0.9858734011650085,0.07120756804943085,0.9981659650802612,0.9949367046356201,0.9424460530281067,0.971708357334137,0.4166048765182495,0.9971283674240112
